Probe_ID	Gene_Symbol
ANKRD35	ANKRD35
ANKRD36	ANKRD36
ANKRD36B	ANKRD36B
ANKRD36C	ANKRD36C
ANKRD37	ANKRD37
ANKRD39	ANKRD39
ANKRD40	ANKRD40
ANKRD42	ANKRD42
ANKRD44	ANKRD44
ANKRD46	ANKRD46
ANKRD49	ANKRD49
ANKRD50	ANKRD50
ANKRD52	ANKRD52
ANKRD54	ANKRD54
ANKRD6	ANKRD6
ANKRD9	ANKRD9
ANKS1A	ANKS1A
ANKS3	ANKS3
ANKS6	ANKS6
ANKZF1	ANKZF1
ANLN	ANLN
ANO10	ANO10
ANO6	ANO6
ANO8	ANO8
ANO9	ANO9
ANP32A	ANP32A
ANP32B	ANP32B
ANP32E	ANP32E
ANPEP	ANPEP
ANTXR2	ANTXR2
ANXA1	ANXA1
ANXA11	ANXA11
ANXA2	ANXA2
ANXA2R	ANXA2R
ANXA3	ANXA3
ANXA4	ANXA4
ANXA5	ANXA5
ANXA6	ANXA6
ANXA7	ANXA7
ANXA9	ANXA9
AOAH	AOAH
AOC2	AOC2
AOC3	AOC3
AP1AR	AP1AR
AP1B1	AP1B1
AP1G1	AP1G1
AP1G2	AP1G2
AP1M1	AP1M1
AP1S2	AP1S2
AP1S3	AP1S3
AP2A1	AP2A1
AP2A2	AP2A2
AP2B1	AP2B1
AP2M1	AP2M1
AP2S1	AP2S1
AP3B1	AP3B1
AP3D1	AP3D1
AP3M1	AP3M1
AP3M2	AP3M2
AP3S1	AP3S1
AP3S2	AP3S2
AP4B1	AP4B1
AP4E1	AP4E1
AP4M1	AP4M1
AP4S1	AP4S1
AP5B1	AP5B1
AP5M1	AP5M1
AP5S1	AP5S1
AP5Z1	AP5Z1
APAF1	APAF1
APBA2	APBA2
APBA3	APBA3
APBB1	APBB1
APBB1IP	APBB1IP
APBB3	APBB3
APC	APC
APEH	APEH
APEX1	APEX1
APEX2	APEX2
APH1A	APH1A
APH1B	APH1B
API5	API5
APIP	APIP
APLF	APLF
APLP2	APLP2
APMAP	APMAP
APOBEC2	APOBEC2
APOBEC3A	APOBEC3A
APOBEC3B	APOBEC3B
APOBEC3C	APOBEC3C
APOBEC3D	APOBEC3D
APOBEC3F	APOBEC3F
APOBEC3G	APOBEC3G
APOBEC3H	APOBEC3H
APOBR	APOBR
APOC1	APOC1
APOD	APOD
APOE	APOE
APOL1	APOL1
APOL2	APOL2
APOL3	APOL3
APOL6	APOL6
APOLD1	APOLD1
