Oligo_ID	Symbol v12
hCP000399	SDHA
hCP000400	HMBS
hCP000401	B2M
hCP000402	GAPDH
hCP000403	YWHAZ
hCP000404	SDHA
hCP000405	HMBS
hCP000406	B2M
hCP000407	GAPDH
hCP000408	YWHAZ
hCP000409	RPL13A
hCP000410	UBC
hCP000411	ACTB
hCP000412	TBP
hCP000413	HPRT1
hCP000414	RPL13A
hCP000415	UBC
hCP000416	ACTB
hCP000417	TBP
hCP000418	HPRT1
hCP000419	RPL13A
hCP000420	UBC
hCP000421	ACTB
hCP000422	TBP
hCP000423	HPRT1
hCP000424	RPL13A
hCP000425	UBC
hCP000426	ACTB
hCP000427	TBP
hCP000428	HPRT1
hCP000429	RPL13A
hCP000430	UBC
hCP000431	ACTB
hCP000432	TBP
hCP000433	GAPDH
hCP000434	YWHAZ
hCP000435	SDHA
hCP000436	HMBS
hCP000437	B2M
hCP000438	GAPDH
hCP000439	YWHAZ
hCP000440	SDHA
hCP000441	HMBS
hCP000442	B2M
hCP000443	GAPDH
hCP000444	YWHAZ
hCP000445	SDHA
hCP000446	HMBS
hCP000447	B2M
hCP000448	GAPDH
hCP000449	YWHAZ
hCP000450	SDHA
hCP000451	HMBS
hCP000452	B2M
hCP000453	GAPDH
hCP000454	YWHAZ
hCP000455	SDHA
hCP000456	HMBS
hCP000457	ACTB
hCP000458	TBP
hCP000459	HPRT1
hCP000460	RPL13A
hCP000461	UBC
hCP000462	ACTB
hCP000463	TBP
hCP000464	HPRT1
hCP000465	RPL13A
hCP000466	UBC
hCP000467	ACTB
hCP000468	TBP
hCP000469	HPRT1
hCP000470	RPL13A
hCP000471	UBC
hCP000472	ACTB
hCP000473	TBP
hCP000474	HPRT1
hCP000475	RPL13A
hCP000476	UBC
hCP000477	ACTB
hCP000478	TBP
hCP000479	HPRT1
hCP000480	RPL13A
hCP000481	SDHA
hCP000482	HMBS
hCP000483	B2M
hCP000484	GAPDH
hCP000485	YWHAZ
hCP000486	SDHA
hCP000487	HMBS
hCP000488	B2M
hCP000489	GAPDH
hCP000490	YWHAZ
hCP000491	SDHA
hCP000492	HMBS
hCP000493	B2M
hCP000494	GAPDH
hCP000495	YWHAZ
hCP000496	SDHA
hCP000497	HMBS
hCP000498	B2M
hCP000499	GAPDH
hCP000500	YWHAZ
hCP000501	SDHA
hCP000502	HMBS
hCP000503	B2M
hCP000504	GAPDH
hCP000505	HPRT1
hCP000506	RPL13A
hCP000507	UBC
hCP000508	ACTB
hCP000509	TBP
hCP000510	HPRT1
hCP000511	RPL13A
hCP000512	UBC
hCP000513	ACTB
hCP000514	TBP
hCP000515	HPRT1
hCP000516	RPL13A
hCP000517	UBC
hCP000518	ACTB
hCP000519	TBP
hCP000520	HPRT1
hCP000521	RPL13A
hCP000522	UBC
hCP000523	ACTB
hCP000524	TBP
hCP000525	HPRT1
hCP000526	RPL13A
hCP000527	UBC
hCP000528	ACTB
hCP000529	B2M
hCP000530	GAPDH
hCP000531	YWHAZ
hCP000532	SDHA
hCP000533	HMBS
hCP000534	B2M
hCP000535	GAPDH
hCP000536	YWHAZ
hCP000537	SDHA
hCP000538	HMBS
hCP000539	B2M
hCP000540	GAPDH
hCP000541	YWHAZ
hCP000542	SDHA
hCP000543	HMBS
hCP000544	B2M
hCP000545	GAPDH
hCP000546	YWHAZ
hCP000547	SDHA
hCP000548	HMBS
hCP000549	B2M
hCP000550	GAPDH
hCP000551	YWHAZ
hCP000552	SDHA
hCP000553	UBC
hCP000554	ACTB
hCP000555	TBP
hCP000556	HPRT1
hCP000557	RPL13A
hCP000558	UBC
hCP000559	ACTB
hCP000560	TBP
hCP000561	HPRT1
hCP000562	RPL13A
hCP000563	UBC
hCP000564	ACTB
hCP000565	TBP
hCP000566	HPRT1
hCP000567	RPL13A
hCP000568	UBC
hCP000569	ACTB
hCP000570	TBP
hCP000571	HPRT1
hCP000572	RPL13A
hCP000573	UBC
hCP000574	ACTB
hCP000575	TBP
hCP000576	HPRT1
hCT000577	CTSD
hCT000578	RPN2
hCT000579	TLN1
hCT000580	CTSD
hCT000581	RPN2
hCT000582	TLN1
hCT000583	CTSD
hCT000584	RPN2
hCT000585	GSN
hCT000586	EEF2
hCT000587	VIM
