Probe_ID	Gene_Symbol
Hs.112950_at	LOC101928162
Hs.112955_at	SEC61A2
Hs.112968_at	FOXE3
Hs.112981_at	DEPTOR
Hs.112998_at	UCMA
Hs.113094_at	CORO2A
Hs.11314_at	AAR2
Hs.113150_at	RALGAPA1P1
Hs.113157_at	ITGA9
Hs.113216_at	OXT
Hs.113222_at	CCR8
Hs.113227_at	DAO
Hs.113253_at	PAX7
Hs.113265_at	SNAPC4
Hs.113275_at	P2RX6
Hs.113287_at	DLGAP2
Hs.113290_at	MAGEB3
Hs.113291_at	MAGEB4
Hs.113314_at	LRRC75B
Hs.11355_at	TMPO
Hs.113577_at	NF1
Hs.113684_at	CDH12
Hs.113823_at	CLPX
Hs.113824_at	MAGEB2
Hs.113874_at	OMG
Hs.113876_at	WHSC1
Hs.113882_at	GABRD
Hs.113916_at	CXCR5
Hs.113919_at	SVBP
Hs.11392_at	VEGFD
Hs.113940_at	CCDC146
Hs.114033_at	SSR1
Hs.114062_at	HACD1
Hs.114084_at	ENPP7
Hs.114111_at	CCDC92
Hs.114172_at	BHMT2
Hs.11417_at	RABAC1
Hs.114191_at	ZCCHC2
Hs.114198_at	MAP2K5
Hs.114246_at	ZNF81
Hs.114286_at	CD9
Hs.114309_at	APOL1
Hs.114412_at	TXNL1
Hs.114449_at	LINC01119
Hs.1144_at	GP9
Hs.114545_at	GPR55
Hs.114648_at	FAM24B
Hs.114761_at	LOC100506289
Hs.114777_at	CCDC153
Hs.114948_at	CRLF1
Hs.115088_at	ACTR6
Hs.115099_at	APOL4
Hs.115232_at	SF3A2
Hs.115263_at	EREG
Hs.115277_at	UTY
Hs.115284_at	ZNF213
Hs.115325_at	RAB29
Hs.115366_at	BANF2
Hs.115460_at	CCIN
Hs.115461_at	CCDC178
Hs.115467_at	LYRM7
Hs.115474_at	RFC3
Hs.1154_at	OVGP1
Hs.115617_at	CRHBP
Hs.115830_at	HS3ST2
Hs.115838_at	TMC5
Hs.115896_at	PLBD2
Hs.11590_at	CTSF
Hs.115959_at	ANKS4B
Hs.116014_at	DTD2
Hs.116092_at	EPHB1
Hs.116128_at	WFDC8
Hs.116147_at	ADAM7
Hs.11614_at	CCDC113
Hs.116150_at	LINC01069
Hs.11615_at	STYXL1
Hs.116233_at	LOC100132005
Hs.116237_at	VAV1
Hs.116240_at	TMEM67
Hs.116244_at	WDR62
Hs.116250_at	GABRA2
Hs.116254_at	C22orf15
Hs.116303_at	DNAJC5G
Hs.11638_at	ACSL5
Hs.116419_at	MEI1
Hs.116428_at	SCGN
Hs.116448_at	GLS
Hs.116459_at	MAN2A2
Hs.116462_at	HNF4A
Hs.116467_at	PRAC1
Hs.116471_at	CDH11
Hs.116481_at	CD72
Hs.116486_at	C18orf25
Hs.116622_at	ZNF607
Hs.116631_at	DLK1
Hs.116651_at	MPZL2
Hs.116665_at	KBTBD8
Hs.116679_at	FOXR1
Hs.1166_at	THPO
Hs.116827_at	STUM
Hs.116864_at	LOC100506406
Hs.116871_at	SLC17A8
Hs.116877_at	FAM208A
Hs.116935_at	ZNF521
Hs.117050_at	OTC
Hs.117060_at	ECM2
Hs.11713_at	ELF5
Hs.117167_at	SLC46A3
Hs.117169_at	COL22A1
Hs.11729_at	SLC27A2
Hs.117331_at	TREML1
Hs.117339_at	HCST
Hs.117367_at	SLC22A1
Hs.117545_at	PDE4D
Hs.117694_at	CABP5
Hs.1176_at	SLC4A3
Hs.117715_at	ST5
Hs.11776_at	PRPF3
Hs.117780_at	KCNS1
Hs.117797_at	FAM99B
Hs.11782_at	C16orf89
Hs.117835_at	FGD4
Hs.117853_at	LOC146880
Hs.117938_at	COL17A1
Hs.118003_at	FAM189A2
Hs.118076_at	RPS4X
Hs.118110_at	BST2
Hs.118127_at	ACTC1
Hs.118161_at	C10orf11
Hs.118241_at	COQ8A
Hs.118243_at	DNASE2
Hs.118248_at	ATXN7L2
Hs.118262_at	CACNA1C
Hs.118351_at	UBE3C
Hs.118354_at	GNL1
Hs.118394_at	DCAF10
Hs.1183_at	DUSP2
Hs.118400_at	FSCN1
Hs.118474_at	MIA3
Hs.118513_at	MRGPRF
Hs.118552_at	TMEM132A
Hs.118554_at	LACTB2
Hs.118555_at	FSCN2
Hs.118608_at	HOXC13
Hs.118620_at	SERPINA10
Hs.118631_at	TIMELESS
Hs.118633_at	OASL
Hs.118640_at	DVL2
Hs.118651_at	HHEX
Hs.118666_at	FLAD1
Hs.118681_at	ERBB3
Hs.118695_at	KCNG1
Hs.118725_at	SEPHS2
Hs.118727_at	HES2
Hs.118738_at	RBM15B
Hs.118845_at	TNNC1
Hs.118918_at	SLC25A35
Hs.118958_at	STX11
Hs.118964_at	GATAD2A
Hs.118983_at	GSDMD
Hs.119014_at	ZNF175
Hs.119023_at	SMC2
Hs.119164_at	LOC105378349
Hs.11916_at	RBKS
Hs.119177_at	ARF3
Hs.119192_at	H2AFZ
Hs.11923_at	YIPF1
Hs.119251_at	UQCRC1
Hs.119273_at	ZNF646
Hs.119286_at	APCDD1L
Hs.119316_at	GATB
Hs.119387_at	TMEM63A
Hs.119591_at	AP2S1
Hs.119594_at	CIT
Hs.119689_at	CGA
Hs.1197_at	HSPE1
Hs.119815_at	ASXL2
Hs.119825_at	SPTA1
Hs.119878_at	MLKL
Hs.119882_at	CDK6
Hs.119889_at	RAP2C
Hs.119897_at	LRRC27
Hs.119926_at	LOC100996694
Hs.11_at	CEACAM3
Hs.120021_at	RGS22
Hs.120040_at	TCF24
Hs.120058_at	LOC100505664
Hs.120094_at	RELL2
Hs.12013_at	ABCE1
Hs.120165_at	LETM1
Hs.120250_at	PARP15
Hs.120260_at	FCRL4
Hs.120267_at	TSGA10
Hs.120316_at	CABS1
Hs.120319_at	RDH14
Hs.120323_at	SPATS2L
Hs.120364_at	TUSC7
Hs.120365_at	PRSS50
Hs.120369_at	FNDC8
Hs.120377_at	LOC101060391
Hs.120391_at	HORMAD2
Hs.120399_at	LINC00851
Hs.120403_at	DCAF12L1
Hs.120464_at	SOHLH1
Hs.120483_at	SEPT3
Hs.120551_at	TLR10
Hs.12056_at	ASGR1
Hs.120573_at	CCDC70
Hs.120591_at	BEND4
Hs.120658_at	OSMR
Hs.12068_at	CRAT
Hs.120759_at	APOB
Hs.120766_at	ZNF330
Hs.120790_at	CCDC68
Hs.120817_at	LIN9
Hs.12082_at	EPB41L4A-AS1
Hs.120831_at	C16orf82
Hs.120844_at	FOXJ2
Hs.12084_at	TUFM
Hs.120855_at	THSD7A
Hs.120949_at	CD36
Hs.120950_at	RHAG
Hs.120963_at	NCBP3
Hs.120998_at	INPP5E
Hs.121017_at	HIST1H2AE
Hs.121025_at	ZNHIT2
Hs.121028_at	ASPM
Hs.12102_at	SNX3
Hs.12106_at	MMAB
Hs.121072_at	CCDC87
Hs.121076_at	PPIL3
Hs.12107_at	CHMP2A
Hs.121084_at	EPPIN
Hs.12109_at	CIAO1
Hs.12114_at	VNN1
Hs.121178_at	RNF39
Hs.121180_at	LOC105371184
Hs.121188_at	ZC2HC1B
Hs.1211_at	ACP5
Hs.121233_at	LOC100505942
Hs.121260_at	MINPP1
Hs.121283_at	ZNF571-AS1
Hs.121333_at	MOBP
Hs.121335_at	CPNE9
Hs.121347_at	C10orf82
Hs.121365_at	LINC00705
Hs.121383_at	LINC00658
Hs.121389_at	TTTY5
Hs.121396_at	TBC1D32
Hs.121432_at	PPWD1
Hs.121438_at	CCDC42
Hs.12144_at	KIAA1033
Hs.121478_at	DRD3
Hs.121482_at	HTR1D
Hs.121483_at	CLCN1
Hs.121484_at	BRS3
Hs.121489_at	CST5
Hs.121490_at	GLRA1
Hs.121494_at	SPAM1
Hs.121495_at	KCNE1
Hs.121510_at	GRM2
Hs.121520_at	AMIGO2
Hs.12152_at	SRPRB
Hs.121536_at	MTFR2
Hs.121540_at	WNT10A
Hs.121549_at	CDIPT
Hs.121554_at	CST9L
Hs.121575_at	IFITM10
Hs.121592_at	AP1S2
Hs.121593_at	COX19
Hs.121602_at	CST8
Hs.121605_at	RBMXL2
Hs.121663_at	RALYL
Hs.121676_at	ZFYVE19
Hs.121748_at	TRIM17
Hs.121776_at	TEX11
Hs.121870_at	NCDN
Hs.1219_at	ADH4
Hs.122006_at	GALK2
Hs.122038_at	ACOT6
Hs.122055_at	C7orf31
Hs.122061_at	STARD9
Hs.122110_at	DOK7
Hs.122115_at	EP400NL
Hs.12211_at	SLC35C1
Hs.122125_at	WDR72
Hs.12229_at	KLF11
Hs.122310_at	PAX1
Hs.122337_at	ABHD2
Hs.122346_at	MAD2L1BP
Hs.122363_at	WIPI2
Hs.122417_at	ZBTB20-AS1
Hs.12248_at	CXXC4
Hs.122509_at	DEFB123
Hs.122511_at	CETN1
Hs.122523_at	SND1
Hs.12253_at	SMAD2
Hs.122561_at	VMO1
Hs.122566_at	CRYGA
Hs.12256_at	MID2
Hs.122575_at	LPAR2
Hs.122583_at	UGT2A3
Hs.122599_at	SPACA4
Hs.12271_at	FBXL6
Hs.12272_at	CNTD1
Hs.122752_at	TAF2
Hs.122785_at	MGAM
Hs.1227_at	ALAD
Hs.12286_at	ATF7
Hs.122908_at	CDT1
Hs.122926_at	NR3C1
Hs.122927_at	CLIP4
Hs.122959_at	HYPM
Hs.122986_at	TPTE
Hs.123016_at	HTR1B
Hs.123022_at	ADRA2C
Hs.123024_at	GABRA3
Hs.123034_at	GPR12
Hs.123035_at	SERPINB4
Hs.123036_at	ENTPD2
Hs.123070_at	HOXD10
Hs.123072_at	RAB3B
Hs.123074_at	GUCY2F
Hs.123106_at	BCL2L15
Hs.123107_at	KLK1
Hs.123114_at	CST1
Hs.123116_at	SLC12A1
Hs.123119_at	SMAD9
Hs.123159_at	SPAG4
Hs.123191_at	PAN3-AS1
Hs.123198_at	MYO9B
Hs.12319_at	TMEM237
Hs.123232_at	EFCAB11
Hs.123239_at	PRRC2A
Hs.123253_at	SHCBP1
Hs.12332_at	PLEKHA7
Hs.12333_at	RNF13
Hs.123393_at	LOC105375075
Hs.12341_at	ADAR
Hs.123423_at	TMEM52
Hs.123450_at	KLHDC4
Hs.123464_at	LPAR6
Hs.123530_at	ACTL7A
Hs.123536_at	MAGEC2
Hs.123543_at	LOC100507277
Hs.123642_at	EPHA3
Hs.123659_at	SMPDL3B
Hs.1238_at	AMELY
Hs.123933_at	OSR1
Hs.12393_at	TGDS
Hs.1239_at	ANPEP
Hs.12400_at	SYNDIG1L
Hs.124010_at	CCDC151
Hs.124015_at	HAGHL
Hs.124027_at	SEPHS1
Hs.124047_at	ZNF268
Hs.12409_at	SST
Hs.124112_at	LOC100286922
Hs.124123_at	SYCN
Hs.124126_at	ARPC1A
Hs.124128_at	KIAA2022
Hs.124136_at	LOC151760
Hs.124147_at	KDM2A
Hs.124156_at	MFSD14A
Hs.124161_at	HCN2
Hs.12420_at	JADE1
Hs.124211_at	DEFB126
Hs.124223_at	C9orf50
Hs.124246_at	MCMBP
Hs.124299_at	FAM167A
Hs.124366_at	BBX
Hs.124384_at	ZNF738
Hs.12439_at	FBXL12
Hs.124463_at	TEX26
Hs.124490_at	ACIN1
Hs.12449_at	OPALIN
Hs.124502_at	TEX33
Hs.124503_at	ZEB1
Hs.124512_at	TBC1D21
Hs.124519_at	SOHLH2
Hs.12451_at	EML1
Hs.124537_at	LOC100507557
Hs.124565_at	SLC23A3
Hs.124574_at	TAS1R1
Hs.12457_at	NUP133
Hs.124611_at	LOC105379192
Hs.124638_at	SYNDIG1
Hs.124649_at	ABCG1
Hs.124673_at	DSEL
Hs.124696_at	BDH2
Hs.12473_at	AJAP1
Hs.1247_at	APOA4
Hs.124835_at	RNF186
Hs.124840_at	BATF2
Hs.12488_at	LGI2
Hs.124922_at	LRMP
Hs.124940_at	RND1
Hs.124942_at	PPP2R3B
Hs.124953_at	CUX2
Hs.125036_at	PLXDC1
Hs.125037_at	ASB6
Hs.125039_at	CROT
Hs.125056_at	DENND1B
Hs.125113_at	CCT8
Hs.125116_at	CACNA1I
Hs.125133_at	HPS6
Hs.125139_at	LRRC36
Hs.125180_at	GHR
Hs.125213_at	ATOX1
Hs.125221_at	TMX1
Hs.125231_at	VENTX
Hs.125240_at	KLF14
Hs.125247_at	LINC01364
Hs.125293_at	RASGEF1A
Hs.125300_at	TRIM5
Hs.125331_at	DPPA5
Hs.125423_at	ASB17
Hs.125474_at	LPXN
Hs.125482_at	SLC22A15
Hs.125507_at	DDX43
Hs.125511_at	LOC148696
Hs.125525_at	DDHD1
Hs.125549_at	LOC105369921
Hs.12554_at	NAP1L5
Hs.125562_at	LOC101929315
Hs.125571_at	TMPRSS12
Hs.125608_at	C9orf152
Hs.125674_at	LOC100506470
Hs.125680_at	ART5
Hs.125742_at	LRCH4
Hs.125750_at	KERA
Hs.125785_at	LELP1
Hs.125844_at	LOC105379178
Hs.125867_at	EVL
Hs.125875_at	C16orf78
Hs.125898_at	GNAS
Hs.125904_at	UBE2E2-AS1
Hs.125960_at	BPIFA2
Hs.125962_at	TFEC
Hs.126024_at	FAM135B
Hs.126035_at	RPGRIP1
Hs.126057_at	FRAT1
Hs.126101_at	LOC101928087
Hs.126135_at	CRB1
Hs.126137_at	ACOT7
Hs.126141_at	CBLN4
Hs.126221_at	TRAPPC10
Hs.126248_at	TCFL5
Hs.126256_at	IL1B
Hs.126265_at	ACY3
Hs.126357_at	OCRL
Hs.126378_at	ABCG4
Hs.126403_at	DYX1C1
Hs.126409_at	ADTRP
Hs.12646_at	PARP12
Hs.126496_at	ZNRF4
Hs.126497_at	AEBP2
Hs.126516_at	PRNT
Hs.126550_at	VPS4B
Hs.126561_at	UNC79
Hs.126575_at	TCERG1L
Hs.126667_at	LPAR1
Hs.126688_at	CHDH
Hs.126706_at	ACCS
Hs.126712_at	FAM162B
Hs.126730_at	RNF133
Hs.126774_at	RPL21P28
Hs.12677_at	PTRH2
Hs.126780_at	SEPT12
Hs.12680_at	ADAMTS12
Hs.126813_at	RBPMS-AS1
Hs.126825_at	FAM131C
Hs.126830_at	SLC47A2
Hs.126838_at	ADAM29
Hs.126856_at	UBE2QL1
Hs.126888_at	METTL4
Hs.126889_at	NCK1
Hs.126891_at	IL22RA2
Hs.126905_at	ZNF548
Hs.126906_at	PTCD2
Hs.12692_at	LRRC49
Hs.126938_at	NAPA
Hs.126941_at	FAM49B
Hs.126980_at	LOC644135
Hs.127011_at	TINAG
Hs.127022_at	PTPRE
Hs.127026_at	C1orf127
Hs.127032_at	RLN2
Hs.127059_at	SCGB1C1
Hs.12707_at	DNAJC13
Hs.1270_at	GCK
Hs.127100_at	LOC440117
Hs.127111_at	TEKT2
Hs.127126_at	CPEB4
Hs.127189_at	CA13
Hs.127194_at	C17orf50
Hs.12723_at	CNTN3
Hs.127310_at	UHMK1
Hs.127383_at	CDX2
Hs.127401_at	IFT172
Hs.127403_at	ATG13
Hs.127411_at	CDC14A
Hs.127432_at	DTWD1
Hs.127486_at	STRN
Hs.127496_at	GTPBP8
Hs.1274_at	BMP1
Hs.127510_at	KLHL10
Hs.12751_at	GPR26
Hs.127530_at	ARMC4
Hs.127535_at	FRMD3
Hs.127562_at	HOXC11
Hs.127648_at	SLCO4C1
Hs.12764_at	LOC101927531
Hs.127675_at	CLN8
Hs.127680_at	LOC389332
Hs.127724_at	ESPNL
Hs.127743_at	ATP6V1G3
Hs.127792_at	DLL3
Hs.127799_at	BIRC3
Hs.127821_at	KCNQ1DN
Hs.127830_at	MYLK4
Hs.127897_at	RAPGEF1
Hs.127930_at	ADAM18
Hs.127950_at	BRD1
Hs.127951_at	MAP7D2
Hs.127982_at	NANOS3
Hs.127991_at	LOC100996654
Hs.128032_at	LOC101929034
Hs.128055_at	OSGIN1
Hs.128056_at	AVL9
Hs.128060_at	FITM1
Hs.128065_at	CTSC
Hs.128069_at	FAM187B
Hs.128071_at	LRRC19
Hs.128075_at	FAM221B
Hs.128078_at	ZNF624
Hs.128096_at	ZMYND19
Hs.128100_at	CST11
Hs.12813_at	TIPARP-AS1
Hs.128180_at	BTG4
Hs.128193_at	MKX
Hs.128196_at	MICALCL
Hs.128199_at	SEPT11
Hs.128204_at	LOC105372695
Hs.128231_at	PAGE1
Hs.128235_at	SPATA25
Hs.128252_at	MAGI2-AS2
Hs.128258_at	ENOX1
Hs.128279_at	L3MBTL4
Hs.12827_at	LINC00461
Hs.128292_at	IGDCC3
Hs.128316_at	BAIAP2
Hs.128326_at	KHDC3L
Hs.128375_at	XCR1
Hs.128382_at	SLC6A17
Hs.128384_at	TTC30A
Hs.128420_at	VPS4A
Hs.128427_at	UPP2
Hs.128433_at	HPGDS
Hs.12844_at	EGFL6
Hs.128453_at	FRZB
Hs.12845_at	TMEM128
