Probe_ID	Gene_Symbol
11715561_s_at	SCD
11715562_x_at	SCD
11715563_s_at	SCD
11715564_s_at	H1FX
11715565_at	PSMD2
11715566_at	COPZ1
11715567_at	COPZ1
11715568_a_at	CD9
11715569_at	CD9
11715570_x_at	CD9
11715571_a_at	CLSTN1
11715572_a_at	CLSTN1
11715573_s_at	KDELR2
11715574_a_at	KDELR2
11715575_x_at	PPM1G
11715576_at	RAC1
11715577_x_at	RAC1
11715578_s_at	RAC1
11715579_a_at	VKORC1
11715580_a_at	TBCB
11715581_a_at	SF3B2
11715582_s_at	SF3B2
11715583_s_at	HLA-DPA1
11715584_a_at	CAV1
11715585_a_at	PMP22
11715586_at	MAPRE1
11715587_at	MAPRE1
11715588_x_at	MYL9
11715589_at	DYNC1H1
11715590_at	DYNC1H1
11715591_s_at	DYNC1H1
11715592_x_at	DYNC1H1
11715593_s_at	YWHAH
11715594_a_at	RBM38
11715595_a_at	PSMB7
11715596_at	PSMB7
11715597_x_at	PSMB7
11715598_at	TFG
11715599_a_at	ANAPC5
11715600_a_at	PPP1R11
11715601_a_at	PPP1R11
11715602_s_at	SPARC
11715603_s_at	SPARC
11715604_x_at	SPARC
11715605_s_at	SF3B5
11715606_a_at	TSC22D1
11715607_at	PPIB
11715608_x_at	PPIB
11715609_a_at	ATP6V1H
11715610_a_at	ARPC1A
11715611_a_at	PLOD1
11715612_s_at	TMX2
11715613_a_at	BTG2
11715614_at	BTG2
11715615_at	BTG2
11715616_a_at	NDUFAB1
11715617_a_at	RNF130
11715618_a_at	SDF4
11715619_x_at	SDF4
11715620_a_at	CRYAB
11715621_at	UFC1
11715622_a_at	RNF114
11715623_s_at	RNF114
11715624_at	SH3BGRL
11715625_a_at	SH3BGRL
11715626_a_at	RPL11
11715627_x_at	ALDH2
11715628_a_at	FGB
11715629_a_at	LAPTM4A
11715630_s_at	LAPTM4A
11715631_x_at	LAPTM4A
11715632_at	MAF1
11715633_x_at	MAF1
11715634_s_at	TMEM14C
11715635_x_at	TMEM14C
11715636_a_at	SERPINE1
11715637_a_at	UGP2
11715638_s_at	LPCAT1
11715639_a_at	TTC3
11715640_a_at	TTC3
11715641_a_at	TTC3
11715642_s_at	TTC3
11715643_a_at	ATP6AP2
11715644_s_at	ATP6AP2
11715645_s_at	RTCB
11715646_a_at	ADIPOR1
11715647_a_at	ADIPOR1
11715648_x_at	ADIPOR1
11715649_s_at	TXNRD1
11715650_a_at	TXNRD1
11715651_s_at	FSTL1
11715652_a_at	PCOLCE
11715653_a_at	RTFDC1
11715654_x_at	RTFDC1
11715655_s_at	VDAC1
11715656_at	COX5A
11715657_a_at	GLB1
11715658_a_at	SLC39A1
11715659_s_at	ERRFI1
11715660_a_at	RPN2
11715661_a_at	TMEM189-UBE2V1
11715662_x_at	TMEM189-UBE2V1
11715663_a_at	STARD7
11715664_a_at	STARD7
11715665_a_at	PSMB8
11715666_a_at	TPM3
11715667_s_at	TPM3
11715668_a_at	PSMA5
11715669_s_at	DCTN1
11715670_a_at	IFITM1
11715671_x_at	IFITM1
11715672_a_at	WDR83OS
11715673_x_at	JUNB
11715674_s_at	CCNG1
11715675_a_at	CCNG1
11715676_s_at	NCSTN
11715677_x_at	NCSTN
11715678_s_at	NAP1L4
11715679_s_at	PRNP
11715680_s_at	C12orf57
11715681_s_at	CREG1
11715682_a_at	CREG1
11715683_a_at	KRT7
11715684_a_at	PPA1
11715685_s_at	ARPC5
11715686_s_at	ARPC5
11715687_x_at	ARPC5
11715688_x_at	CTRB2
11715689_a_at	CD164
11715690_x_at	CD164
11715691_s_at	ZFP36
11715692_a_at	CIRBP
11715693_s_at	CIRBP
11715694_at	COX7B
11715695_x_at	COX7B
11715696_a_at	NOLC1
11715697_a_at	NOLC1
11715698_a_at	NOLC1
11715699_s_at	SEC16A
11715700_s_at	WDR6
11715701_s_at	PFN2
11715702_at	ITGA5
11715703_s_at	ITGA5
11715704_x_at	ITGA5
11715705_a_at	MGEA5
11715706_x_at	MGEA5
11715707_a_at	MGEA5
11715708_s_at	MB
11715709_x_at	MB
11715710_s_at	CTSC
11715711_a_at	AKR1C3
11715712_a_at	NRDC
11715713_a_at	VOPP1
11715714_s_at	VOPP1
11715715_x_at	VOPP1
11715716_at	MSN
11715717_s_at	MSN
11715718_a_at	ZNHIT1
11715719_x_at	CDC37
11715720_s_at	C1orf43
11715721_a_at	GOLM1
11715722_a_at	GOLM1
11715723_s_at	ITM2B
11715724_s_at	ITM2B
11715725_x_at	ITM2B
11715726_a_at	OAZ2
11715727_s_at	OAZ2
11715728_a_at	ITGB1
11715729_s_at	CYP19A1
11715730_at	CYP19A1
11715731_at	CYP19A1
11715732_at	PSMB3
11715733_a_at	NIPSNAP1
11715734_a_at	NIPSNAP1
11715735_a_at	TMEM123
11715736_s_at	CASC3
11715737_at	CASC3
11715738_s_at	SNX3
11715739_s_at	PLPP3
11715740_a_at	RCC2
11715741_at	RCC2
11715742_s_at	RCC2
11715743_x_at	RCC2
11715744_a_at	ATP5J
11715745_a_at	KIAA1191
11715746_a_at	MINOS1-NBL1
11715747_a_at	MINOS1-NBL1
11715748_at	SSRP1
11715749_s_at	SSRP1
11715750_at	SSRP1
11715751_a_at	DPYSL3
11715752_at	TSPAN7
11715753_a_at	TSPAN7
11715754_at	PRL
11715755_a_at	ATIC
11715756_x_at	UBL5
11715757_a_at	RGS2
11715758_at	TTC1
11715759_at	RPL36AL
11715760_x_at	RPL36AL
11715761_a_at	TBC1D14
11715762_s_at	AP1M1
11715763_a_at	PODXL
11715764_a_at	PODXL
11715765_a_at	DUSP1
11715766_a_at	DUSP1
11715767_s_at	ACAA2
11715768_x_at	SIRT2
11715769_a_at	SET
11715770_x_at	SET
11715771_a_at	MRPL13
11715772_x_at	MRPL13
11715773_a_at	IMP3
11715774_s_at	IMP3
11715775_a_at	HSPB8
11715776_a_at	HSPB8
11715777_s_at	LUZP6
11715778_a_at	LUZP6
11715779_a_at	HNRNPH2
11715780_x_at	HNRNPH2
11715781_a_at	EEF2
11715782_a_at	EEF2
11715783_x_at	EEF2
11715784_s_at	PRR4
11715785_at	CRYBB2
11715786_at	PLOD3
11715787_x_at	ATP6V0C
11715788_a_at	SLC40A1
11715789_a_at	SLC40A1
11715790_a_at	MRPL37
11715791_at	TUBG1
11715792_a_at	STOM
11715793_a_at	ACTG2
11715794_x_at	ACTG2
11715795_at	MANF
11715796_s_at	LUM
11715797_a_at	WDR45B
11715798_x_at	WDR45B
11715799_s_at	PRRC2B
11715800_at	PRRC2B
11715801_s_at	PRRC2B
11715802_a_at	PRRC2B
11715803_a_at	ANXA6
11715804_s_at	PPP2CA
11715805_a_at	PPP2CA
11715806_a_at	SEPW1
11715807_a_at	STARD10
11715808_a_at	PYGB
11715809_a_at	PYGB
11715810_a_at	TRIP12
11715811_s_at	MLLT6
11715812_s_at	MLLT6
11715813_at	HIGD1A
11715814_a_at	TRAP1
11715815_a_at	PSMC3
11715816_at	ZFP36L2
11715817_at	ZFP36L2
11715818_at	ZFP36L2
11715819_a_at	LRPAP1
11715820_a_at	BUD31
11715821_a_at	SYPL1
11715822_s_at	SYPL1
11715823_x_at	SYPL1
11715824_at	NOP10
11715825_a_at	PRMT1
11715826_x_at	HMG20B
11715827_s_at	M6PR
11715828_a_at	M6PR
11715829_at	PLS3
11715830_s_at	PLS3
11715831_s_at	SURF4
11715832_s_at	SURF4
11715833_a_at	RUVBL1
11715834_x_at	RUVBL1
11715835_a_at	PSMA3
11715836_x_at	PSMA3
11715837_a_at	HEXB
11715838_a_at	NEU1
11715839_a_at	SDHC
11715840_s_at	SDHC
11715841_at	MAPK1
11715842_a_at	MAPK1
11715843_at	MAPK1
11715844_s_at	PTPRF
11715845_s_at	PTPRF
11715846_at	EFEMP1
11715847_x_at	PLAT
11715848_a_at	ATP5G2
11715849_a_at	APOLD1
11715850_x_at	C6orf48
11715851_s_at	CLU
11715852_at	PDGFRB
11715853_a_at	PDGFRB
11715854_at	PDGFRB
11715855_a_at	PRCP
11715856_s_at	PRCP
11715857_a_at	NCKAP1
11715858_s_at	NCKAP1
11715859_at	RIC8A
11715860_a_at	RIC8A
11715861_a_at	ACTN4
11715862_x_at	CDIPT
11715863_x_at	DDAH2
11715864_a_at	HACD3
11715865_a_at	ATP6V1F
11715866_x_at	ATP6V1F
11715867_x_at	MRPL41
11715868_a_at	TINF2
11715869_x_at	TINF2
11715870_a_at	UFD1L
11715871_a_at	UFD1L
11715872_at	ZFAND3
11715873_a_at	OLFML3
11715874_s_at	ATP5H
11715875_a_at	COMMD7
11715876_at	P2RX5-TAX1BP3
11715877_s_at	CDK2AP1
11715878_a_at	PITPNA
11715879_a_at	PITPNA
11715880_a_at	PITPNA
11715881_a_at	DAP3
11715882_s_at	DAP3
11715883_x_at	DAP3
11715884_a_at	TMEM248
11715885_at	TMEM248
11715886_at	PIP4K2B
11715887_s_at	PIP4K2B
11715888_s_at	PIP4K2B
11715889_a_at	ATP5I
11715890_x_at	ATP5I
11715891_at	PNLIP
11715892_a_at	PYCR2
11715893_s_at	IFI27
11715894_x_at	NGRN
11715895_at	SCARB2
11715896_s_at	SCARB2
11715897_at	SCARB2
11715898_a_at	TNIP1
11715899_a_at	SUCLG1
11715900_a_at	COASY
11715901_a_at	PSMC2
11715902_a_at	DDX23
11715903_at	DDX3X
11715904_s_at	DDX3X
11715905_x_at	DDX3X
11715906_a_at	FAM96B
11715907_s_at	FAM96B
11715908_at	MYO6
11715909_s_at	MYO6
11715910_a_at	MYO6
11715911_at	MYO6
11715912_at	EFNB1
11715913_s_at	EFNB1
11715914_at	EFNB1
11715915_a_at	CD44
11715916_a_at	CD44
11715917_a_at	CD44
11715918_s_at	CD24
11715919_a_at	SH3BGRL3
11715920_a_at	PGRMC2
11715921_a_at	SEPT9
11715922_x_at	SEPT9
11715923_a_at	GSS
11715924_a_at	TRAM1
11715925_a_at	TRAM1
11715926_s_at	PLEC
11715927_x_at	SH3GL1
11715928_a_at	SH3GL1
11715929_x_at	SH3GL1
11715930_at	SDHAF2
11715931_s_at	SGK1
11715932_s_at	TUBB6
11715933_a_at	PPP1R7
11715934_s_at	TAGLN
11715935_a_at	NBEAL2
11715936_x_at	NBEAL2
11715937_a_at	KHDRBS1
11715938_x_at	KHDRBS1
11715939_a_at	KHDRBS1
11715940_s_at	KHDRBS1
11715941_s_at	AQP1
11715942_a_at	AQP1
11715943_x_at	PSMB1
11715944_at	TSG101
11715945_a_at	RALB
11715946_a_at	RALB
11715947_a_at	KCTD12
11715948_at	KCTD12
11715949_s_at	KCTD12
11715950_a_at	KCTD12
11715951_s_at	KCTD12
11715952_a_at	MBTPS1
11715953_a_at	MBTPS1
11715954_a_at	CNDP2
11715955_a_at	ARL6IP5
11715956_s_at	ARL6IP5
11715957_s_at	PEPD
11715958_s_at	RPL7
11715959_a_at	SREBF1
11715960_x_at	NCBP2
11715961_a_at	ACTR10
11715962_at	ACTR10
11715963_a_at	SPTAN1
11715964_x_at	SPTAN1
11715965_at	ST14
11715966_s_at	ABHD17A
11715967_a_at	NEDD8
11715968_s_at	LOC100128775
11715969_a_at	EPRS
11715970_a_at	EPRS
11715971_a_at	PFKP
11715972_at	SMOC2
11715973_a_at	MTFR1L
11715974_x_at	MTFR1L
11715975_a_at	MTFR1L
11715976_a_at	VGLL4
11715977_a_at	VGLL4
11715978_a_at	C6orf48
11715979_x_at	BRK1
11715980_at	AIP
11715981_a_at	VPS11
11715982_a_at	DUS1L
11715983_a_at	ADNP
11715984_s_at	ADNP
11715985_x_at	HTN3
11715986_s_at	YPEL5
11715987_a_at	GH1
11715988_x_at	ATP5G1
11715989_a_at	JTB
11715990_s_at	COX7A2L
11715991_a_at	MCM2
11715992_s_at	MCM2
11715993_s_at	SPG7
11715994_x_at	ID2
11715995_at	MRPL16
11715996_a_at	NOSIP
11715997_a_at	NDUFC1
11715998_s_at	CAB39
11715999_a_at	CAB39
11716000_a_at	FAF2
11716001_at	FAF2
11716002_at	FAF2
11716003_a_at	FAF2
11716004_at	FAF2
11716005_a_at	HYOU1
11716006_a_at	HYOU1
11716007_a_at	RBM5
11716008_x_at	RBM5
11716009_a_at	DYNC1LI2
11716010_s_at	DYNC1LI2
11716011_a_at	TNFAIP1
11716012_at	TNFAIP1
11716013_s_at	TMEM258
11716014_a_at	SERPINF1
11716015_a_at	CMTM3
11716016_at	MAL2
11716017_at	MAL2
11716018_s_at	RAB31
11716019_at	RAB31
11716020_s_at	RAD23A
11716021_x_at	RAD23A
11716022_at	ADRBK1
11716023_s_at	ADRBK1
11716024_a_at	GOLGA7
11716025_a_at	GOLGA7
11716026_s_at	SELT
11716027_at	SELT
11716028_x_at	SELT
11716029_a_at	NDUFB9
11716030_x_at	NDUFB9
11716031_s_at	ARF3
11716032_s_at	ARF3
11716033_at	SLPI
11716034_a_at	BST2
11716035_at	BST2
11716036_x_at	BST2
11716037_x_at	GPAA1
11716038_s_at	SLC25A29
11716039_a_at	BABAM1
11716040_a_at	RPS5
11716041_a_at	PPP2CB
11716042_x_at	PPP2CB
11716043_a_at	FAM168B
11716044_a_at	FAM168B
11716045_s_at	FAM168B
11716046_a_at	RGL2
11716047_a_at	C21orf33
11716048_at	TRIB1
11716049_a_at	TRIB1
11716050_at	GBF1
11716051_at	LAMC1
11716052_s_at	LAMC1
11716053_a_at	LAMC1
11716054_at	LAMC1
11716055_s_at	STMN3
11716056_a_at	STMN3
11716057_a_at	EFTUD2
11716058_a_at	EFTUD2
11716059_x_at	EFTUD2
11716060_at	PRDX4
11716061_a_at	FAM162A
11716062_a_at	TNC
11716063_at	TNC
11716064_a_at	SLC37A4
11716065_at	SLC37A4
11716066_x_at	SLC37A4
11716067_at	VAMP2
11716068_a_at	VAMP2
11716069_at	DESI2
11716070_a_at	DESI2
11716071_s_at	PIM3
11716072_s_at	ATP6V1B2
11716073_a_at	ATP6V1B2
11716074_x_at	HSBP1
11716075_a_at	HSBP1
11716076_at	HSBP1
11716077_x_at	HSBP1
11716078_a_at	ELOVL5
11716079_a_at	CALCOCO1
11716080_a_at	CALCOCO1
11716081_a_at	WDR77
11716082_s_at	WDR77
11716083_a_at	AHSA1
11716084_at	SF3B1
11716085_at	SF3B1
11716086_a_at	PXDN
11716087_s_at	AKT1
11716088_s_at	SNW1
11716089_x_at	SNW1
11716090_a_at	PRG2
11716091_x_at	PRG2
11716092_x_at	CKS1B
11716093_a_at	KLF6
11716094_a_at	KLF6
11716095_s_at	KLF6
11716096_a_at	SGTA
11716097_a_at	RAP1A
11716098_a_at	RAP1A
11716099_s_at	RAP1A
11716100_a_at	ATG3
11716101_s_at	ATG3
11716102_x_at	ATG3
11716103_a_at	PCNA
11716104_a_at	MPZL1
11716105_a_at	MPZL1
11716106_x_at	TOMM22
11716107_a_at	TOMM22
11716108_a_at	XPNPEP1
11716109_a_at	PIGR
11716110_s_at	PIGR
11716111_x_at	PIGR
11716112_at	PIGR
11716113_a_at	STAMBP
11716114_x_at	POR
11716115_s_at	ZFP36L1
