feature_id	BS975181	BS975182	BS975183	BS975184	BS975185	BS975186	BS975187	BS975188	BS975189	BS975190	BS975191	BS975192
200628_s_at	8.16620241666667	8.80610791666667	8.5383295	7.936275	8.82644466666667	8.51562441666667	8.52122058333333	8.53031883333333	8.3447745	8.20376425	8.03535525	8.81112575
200629_at	9.2650715	9.84405741666667	9.54888633333333	8.81277925	10.18348375	9.62698391666667	9.64360883333333	9.73747941666667	9.75641341666667	10.18348375	9.29787166666667	9.92803658333333
200630_x_at	10.414166	10.1978678333333	10.2745483333333	10.2465109166667	10.2785851666667	10.2465109166667	10.207957	10.3207384166667	10.1439458333333	10.1565775	10.0237318333333	10.31708475
200631_s_at	10.7305963333333	10.4462149166667	10.49212525	11.007284	10.69571425	10.41199325	10.5702519166667	10.7116114166667	10.71929175	10.7837474166667	10.54600075	10.5532063333333
200633_at	13.1396766666667	12.7307041666667	13.0095075	13.3551895833333	12.83501175	12.7528955	13.1511466666667	12.9579739166667	12.5417114166667	12.9709431666667	12.8074943333333	12.7307041666667
200635_s_at	5.3887265	5.1600085	4.9585785	4.79559691666667	5.1600085	5.0087355	4.96757416666667	5.12581308333333	5.20441620833333	5.10157083333333	5.21033683333333	5.11356758333333
200636_s_at	4.34348808333333	4.25405933333333	4.26304591666667	4.22878241666667	4.07458358333333	4.07081216666667	4.118913	4.25800225	4.16326541666667	4.51083133333333	4.06336775	4.24386475
200637_s_at	4.1299	4.23215141666667	3.922202	3.76635208333333	4.007826	3.7433255	3.65938208333333	3.76952216666667	3.7334815	3.91506208333333	3.74231708333333	4.06288191666667
200638_s_at	11.1568173333333	11.5413191666667	11.40897	11.3720750833333	11.1535154166667	11.58584625	11.4934389166667	11.24381225	11.11986225	11.0397666666667	11.2851379166667	11.2560510833333
200639_s_at	11.6368578333333	11.42826	11.4875091666667	11.01782925	11.42826	11.69039825	11.5713233333333	11.4527138333333	11.4169261666667	11.6126719166667	11.4527138333333	11.5069033333333
200640_at	11.3476573333333	11.3928828333333	11.2913564166667	10.8155344166667	11.2086476666667	11.3278845833333	11.3476573333333	11.26132025	11.1487579166667	11.181678	11.1568173333333	11.2913564166667
200642_at	10.7349740833333	10.72830725	10.71929175	11.2086476666667	10.6681050833333	10.4168125833333	10.7883410833333	10.85178875	10.8781355	10.5748745833333	10.7349740833333	10.5748745833333
200643_at	7.55631116666667	7.58588158333333	7.62296333333333	7.48727708333333	7.62933133333333	7.4666855	7.48297366666667	7.84469875	7.71242558333333	7.66522458333333	7.791162875	7.7694385
200645_at	11.1916905833333	11.4169261666667	11.4407363333333	10.9240265	11.4875091666667	11.4581154166667	11.24381225	11.3420726666667	11.47910225	11.5069033333333	11.09996825	11.42137025
200646_s_at	7.31352925	7.05645116666667	7.10177741666667	6.776772	6.81866908333333	6.73661716666667	6.88051483333333	6.65600483333333	6.35776108333333	6.58030125	6.91905166666667	6.98526875
200647_x_at	10.36481775	9.9911555	10.23918475	10.9816720833333	10.4198555	10.39945875	10.02951975	10.7600155833333	10.2126915	10.3070070833333	10.1602625833333	10.495936
200648_s_at	8.19626691666667	8.95181141666667	8.5803565	10.0172706666667	8.2533315	8.49279975	8.37114816666667	7.81517791666667	7.30966075	8.01560833333333	7.877066	8.29078691666667
