Probe_ID	Gene_Symbol
merck2-AB037811_at	MINDY1
merck2-AB037832_at	FAM135A
merck2-AB037833_at	CEMIP2
merck2-AB037850_at	VIRMA
merck2-AB038041_at	PDE11A
merck2-AB040151_a_at	ABI1
merck2-AB040451_at	BCCIP
merck2-AB040882_at	WDR48
merck2-AB040910_at	MARK1
merck2-AB040931_at	EP400
merck2-AB040934_a_at	ARHGAP23
merck2-AB040934_at	ARHGAP23
merck2-AB040965_at	SPPL2B
merck2-AB040967_at	OSBPL5
merck2-AB042636_at	JPH3
merck2-AB045732_at	TOPORS
merck2-AB046767_at	TLE3
merck2-AB046790_at	KNL1
merck2-AB046820_at	FAM160B1
merck2-AB047847_at	COPG2
merck2-AB049952_at	MRPS18A
merck2-AB049957_at	MRPL57
merck2-AB050785_at	ARHGAP10
merck2-AB051508_at	XPO4
merck2-AB051826_at	RHOU
merck2-AB052103_at	COLEC12
merck2-AB053232_at	GAL3ST3
merck2-AB053301_at	TMEM237
merck2-AB054985_at	CACNB1
merck2-AB055390_at	ABCA7
merck2-AB055660_at	SHROOM3
merck2-AB056657_at	NPHP3
merck2-AB056657_x_at	NPHP3
merck2-AB058731_at	ADGRA1
merck2-AB060691_at	B3GALNT1
merck2-AB060692_at	ARL4D
merck2-AB061546_s_at	SRP14
merck2-AB062361_x_at	ZCRB1
merck2-AB062429_at	ANXA7
merck2-AB064268_a_at	TNFSF11
merck2-AB064666_at	SLC25A3
merck2-AB065001_at	PKNOX2
merck2-AB065434_at	TP53RK
merck2-AB071393_a_at	TTL
merck2-AB073897_at	ANKFY1
merck2-AB075840_at	SHROOM1
merck2-AB075851_at	WHAMM
merck2-AB076839_at	EIF4B
merck2-AB078432_at	GCNT2
merck2-AB080586_at	BRWD1
merck2-AB085790_a_at	BSG
merck2-AB095927_a_at	FAM208B
merck2-AB096243_at	FDX1
merck2-AB097011_at	TIFA
merck2-AB097013_at	ZDHHC17
merck2-AB097017_at	TMEM9B
merck2-AB100261_a_at	CHMP4B
merck2-AB103104_a_at	PEX26
merck2-AB112777_at	CMKLR1
merck2-AB115498_at	TRPM1
merck2-AB126219_at	NENF
merck2-AB188491_at	OTUD1
merck2-AB193060_at	SGO1
merck2-AB208816_at	CAST
merck2-AB208816_x_at	CAST
merck2-AB208834_at	ZNF236
merck2-AB208864_at	FLII
merck2-AB208888_at	SCN2A
merck2-AB208938_a_at	DDX52
merck2-AB208968_at	CDC42BPA
merck2-AB208976_at	SRSF6
merck2-AB209006_at	SMARCC2
merck2-AB209035_at	MYO19
merck2-AB209063_at	PHC1
merck2-AB209070_at	DNM1L
merck2-AB209229_at	MVD
merck2-AB209233_at	NCBP1
merck2-AB209296_at	NPEPL1
merck2-AB209354_at	GLI2
merck2-AB209399_at	GPD2
merck2-AB209481_at	MZF1
merck2-AB209495_at	PTCH1
merck2-AB209508_a_at	KMT2A
merck2-AB209521_at	ACTN2
merck2-AB209527_s_at	HNRNPC
merck2-AB209558_at	SRSF1
merck2-AB209563_at	SERPINB6
merck2-AB209571_at	COL16A1
merck2-AB209712_at	CHGB
merck2-AB209770_at	ANXA11
merck2-AB209788_at	CHN1
merck2-AB209864_a_at	COL5A1
merck2-AB209879_at	PLOD2
merck2-AB209887_a_at	WDR26
merck2-AB209891_at	ADAR
merck2-AB209992_at	DSP
merck2-AB209999_at	KDM5A
merck2-AB210001_at	APC
merck2-AB210017_at	PICALM
merck2-AB210032_at	ARID4B
merck2-AB210043_at	CREBBP
merck2-AB250297_at	TMEM30CP
merck2-AB252970_at	TNIP1
merck2-AB265810_at	RNF31
merck2-AB266387_s_at	CCDC80
merck2-ABA11506_at	WFIKKN2
merck2-ABA36592_at	TTN
merck2-ABV36840_at	DOCK5
merck2-ABZ11949_at	XYLT2
merck2-ACH48042_at	USP7
merck2-AER53082_at	TECR
merck2-AF000985_at	DDX3Y
merck2-AF000992_a_at	KDM6A
merck2-AF001602_at	PON2
merck2-AF002228_at	TBX3
merck2-AF002280_at	PDLIM3
merck2-AF004015_at	BIN1
merck2-AF004883_at	CACNA1A
merck2-AF005043_at	PARG
merck2-AF005418_at	CYP26A1
merck2-AF006083_at	ACTR3
merck2-AF006084_at	ARPC1B
merck2-AF006751_at	RRBP1
merck2-AF007575_at	RRBP1
merck2-AF007791_a_at	AGR2
merck2-AF010233_at	REPS2
merck2-AF011496_at	GNAQ
merck2-AF012108_at	NCOA3
merck2-AF014459_at	RS1
merck2-AF016507_x_at	CTBP2
merck2-AF016535_at	ABCB1
merck2-AF020089_at	BRSK2
merck2-AF020760_at	HTRA2
merck2-AF022108_at	ORC4
merck2-AF022913_at	PIGK
merck2-AF025304_at	EPHB2
merck2-AF025533_s_at	LILRB3
merck2-AF026291_at	CCT4
merck2-AF026850_at	COX15
merck2-AF026941_a_at	RSAD2
merck2-AF026943_at	IFIT3
merck2-AF027150_at	GEMIN2
merck2-AF027302_at	ABCF1
merck2-AF027964_at	SMAD2
merck2-AF029674_at	CREB3
merck2-AF029689_at	CRYZL1
merck2-AF030108_at	RGS5
merck2-AF030234_at	SCAF11
merck2-AF030403_a_at	STK39
merck2-AF030409_at	SLC9A6
merck2-AF031383_at	MED7
merck2-AF033383_at	KCNG1
merck2-AF035013_at	CDK20
merck2-AF035023_at	IGHV3-48
merck2-AF035031_x_at	IGKV3D-15
merck2-AF035298_at	TJP1
merck2-AF035311_at	KPNA1
merck2-AF035594_at	PRKCA
merck2-AF036905_at	LAT
merck2-AF038554_at	DENR
merck2-AF039217_at	INVS
merck2-AF039652_at	RNASEH1
merck2-AF040990_at	ROBO1
merck2-AF041209_at	MID1
merck2-AF041432_at	TRAPPC3
merck2-AF042386_at	PPIE
merck2-AF043244_at	NOL3
merck2-AF043294_at	BUB1
merck2-AF043325_at	NMT2
merck2-AF043453_at	SNX2
merck2-AF047020_at	AMACR
merck2-AF047711_at	RASAL2
merck2-AF050655_at	TAC1
merck2-AF052097_at	FBXL5
merck2-AF052164_a_at	UBC
merck2-AF052183_a_at	WDR77
merck2-AF052185_at	ATPAF2
merck2-AF052186_at	ATP5S
merck2-AF054182_at	PMPCB
merck2-AF054589_at	MDFIC
merck2-AF054993_at	SNAP91
merck2-AF055013_at	GNAI1
merck2-AF055033_at	IGFBP5
merck2-AF056618_at	ZNF215
merck2-AF056717_at	ASH2L
merck2-AF056979_at	IFNGR1
merck2-AF057352_x_at	IGF2BP2
merck2-AF059195_a_at	MAFG
merck2-AF059195_at	MAFG
merck2-AF060225_at	VTA1
merck2-AF060502_at	PEX10
